;Country;Top Artist;
0;Taiwan;Coldplay;
0;Afghanistan;The xx;
0;Albania;Coldplay;
0;Algeria;Coldplay;
0;American Samoa;The Beatles;
0;Andorra;Radiohead;
0;Angola;Lady Gaga;
0;Anguilla;Bon Iver;
0;Antarctica;;
0;Antigua and Barbuda;Lady Gaga;
0;Argentina;Radiohead;
0;Armenia;Radiohead;
0;Aruba;Beyoncé;
0;Australia;Radiohead;
0;Austria;Queen;
0;Azerbaijan;Radiohead;
0;Bahrain;Coldplay;
0;Bahamas;Drake;
0;Bangladesh;Coldplay;
0;Barbados;Rihanna;
0;Belarus;Linkin Park;
0;Belgium;David Bowie;
0;Belize;Coldplay;
0;Benin;Eminem;
0;Bermuda;Daft Punk;
0;Bhutan;Lana Del Rey;
0;Bolivia;Coldplay;
0;Bosnia and Herzegovina;Radiohead;
0;Botswana;Rihanna;
0;Brazil;Rihanna;
0;British Indian Ocean Territory;;
0;British Virgin Islands;;
0;Brunei Darussalam;Coldplay;
0;Bulgaria;Queen;
0;Burkina Faso;The Beatles;
0;Burundi;The Beatles;
0;Cabo Verde;Pink Floyd;
0;Cambodia;Radiohead;
0;Cameroon;Adele;
0;Canada;Radiohead;
0;Cayman Islands;Fleetwood Mac;
0;Central African Republic;;g
0;Chad;Unheilig;
0;Chile;Radiohead;
0;China;Coldplay;
0;Hong Kong;Coldplay;
0;Macao;Adele;
0;Cocos (Keeling) Islands;;
0;Colombia;Radiohead;
0;Comoros;;g
0;Congo;Radiohead;
0;Cook Islands;;
0;Costa Rica;Radiohead;
0;Croatia;David Bowie;
0;Cuba;The Beatles;
0;Curaçao;;g
0;Cyprus;Coldplay;
0;Czechia;;e
0;Cote d'Ivoire;Rihanna;
0;Denmark;Queen;
0;Djibouti;Daft Punk;
0;Dominica;Kanye West;
0;Dominican Republic;Coldplay;
0;Ecuador;Coldplay;
0;Egypt;Coldplay;
0;El Salvador;Coldplay;
0;Equatorial Guinea;[unknown];
0;Eritrea;;
0;Estonia;Coldplay;
0;Ethiopia;Queen;
0;Falkland Islands (Malvinas);;
0;Faroe Islands;The Beatles;
0;Fiji;Radiohead;
0;Finland;Queen;
0;France;Radiohead;
0;French Guiana;Bob Marley & The Wailers;
0;French Polynesia;Coldplay;
0;French Southern Territories;;
0;Gabon;Bruno Mars;
0;Gambia;The Beatles;
0;Georgia;Radiohead;
0;Germany;Queen;
0;Ghana;Rihanna;
0;Gibraltar;Coldplay;
0;Greece;Radiohead;
0;Greenland;Coldplay;
0;Grenada;Daft Punk;
0;Guadeloupe;Rihanna;
0;Guam;The Weeknd;
0;Guatemala;Coldplay;
0;Guernsey;Coldplay;
0;Guinea;;g
0;Guinea-Bissau;;g
0;Guyana;Kanye West;
0;Haiti;Drake;
0;Honduras;Coldplay;
0;Hungary;Red Hot Chili Peppers;
0;Iceland;David Bowie;
0;India;Coldplay;
0;Indonesia;Coldplay;
0;Iraq;Coldplay;
0;Ireland;David Bowie;
0;Isle of Man;Radiohead;
0;Israel;Radiohead;
0;Italy;David Bowie;
0;Jamaica;Drake;
0;Japan;宇多田ヒカル;
0;Jersey;David Bowie;
0;Jordan;Lana Del Rey;
0;Kazakhstan;Linkin Park;
0;Kenya;Coldplay;
0;Kiribati;;g
0;Kuwait;Sia;
0;Kyrgyzstan;Linkin Park;
0;Lao People's Democratic Republic;Coldplay;
0;Latvia;Coldplay;
0;Lebanon;Coldplay;
0;Lesotho;[unknown];
0;Liberia;;g
0;Libya;;x
0;Liechtenstein;Metallica;
0;Lithuania;Queen;
0;Luxembourg;Queen;
0;Madagascar;Michael Jackson;
0;Malawi;Linkin Park;
0;Malaysia;Coldplay;
0;Maldives;Red Hot Chili Peppers;
0;Mali;The Rolling Stones;
0;Malta;Coldplay;
0;Marshall Islands;;g
0;Martinique;Rihanna;
0;Mauritania;The Black Keys;
0;Mauritius;Coldplay;
0;Mayotte;Rihanna;
0;Mexico;Radiohead;
0;Monaco;Coldplay;
0;Mongolia;Coldplay;
0;Montenegro;Radiohead;
0;Montserrat;;g
0;Morocco;Coldplay;
0;Mozambique;Radiohead;
0;Myanmar;Drake;
0;Namibia;Queen;
0;Nauru;;g
0;Nepal;Pink Floyd;
0;Netherlands;Coldplay;
0;New Caledonia;Coldplay;
0;New Zealand;Radiohead;
0;Nicaragua;Coldplay;
0;Niger;Mary Juane Clair;
0;Nigeria;Drake;
0;Niue;;g
0;Norfolk Island;The Beatles;
0;Northern Mariana Islands;Drake;
0;Norway;Coldplay;
0;Oman;Coldplay;
0;Pakistan;Ed Sheeran;
0;Palau;Coldplay;
0;Panama;The Weeknd;
0;Papua New Guinea;French Montana;
0;Paraguay;Queen;
0;Peru;Coldplay;
0;Philippines;Coldplay;
0;Pitcairn;;g
0;Poland;Coldplay;
0;Portugal;Radiohead;
0;Puerto Rico;David Bowie;
0;Qatar;Coldplay;
0;Republic of Moldova;Radiohead;
0;Romania;Radiohead;
0;Russian Federation;Linkin Park;
0;Rwanda;Coldplay;
0;Réunion;Radiohead;
0;Saint Barthélemy;;g
0;Saint Helena;The Beatles;
0;Saint Kitts and Nevis;Ariana Grande;
0;Saint Lucia;Drake;
0;Saint Martin (French Part);;g
0;Saint Vincent and the Grenadines;Michael Jackson;
0;Samoa;Lady Gaga;
0;San Marino;Metallica;
0;Sao Tome and Principe;;g
0;Sark;;g
0;Saudi Arabia;Coldplay;
0;Senegal;Rihanna;
0;Serbia;David Bowie;
0;Seychelles;Lana Del Rey;
0;Sierra Leone;;g
0;Singapore;Coldplay;
0;Sint Maarten (Dutch part);;g
0;Slovakia;David Bowie;
0;Slovenia;David Bowie;
0;Solomon Islands;The Beatles;
0;Somalia;;g
0;South Africa;Radiohead;
0;South Georgia and the South Sandwich Islands;;
0;South Sudan;;g
0;Spain;David Bowie;
0;Sri Lanka;Coldplay;
0;Sudan;Rihanna;
0;Suriname;Ed Sheeran;
0;Swaziland;Coldplay;
0;Sweden;David Bowie;
0;Switzerland;Coldplay;
0;Syrian Arab Republic;Metallica;
0;Tajikistan;Rihanna;
0;Thailand;Coldplay;
0;The former Yugoslav Republic of Macedonia;David Bowie;
0;Timor-Leste;Coldplay;
0;Togo;The Weeknd;
0;Tokelau;;g
0;Tonga;The Beatles;
0;Trinidad and Tobago;Rihanna;
0;Tunisia;Radiohead;
0;Turkey;Radiohead;
0;Turkmenistan;Nirvana;
0;Turks and Caicos Islands;;
0;Tuvalu;;g
0;Uganda;Coldplay;
0;Ukraine;Radiohead;
0;United Arab Emirates;Coldplay;
0;United Kingdom of Great Britain and Northern Ireland;David Bowie;
0;United Republic of Tanzania;;
0;United States Minor Outlying Islands;;
0;United States Virgin Islands;;
0;United States of America;Radiohead;
0;Uruguay;Red Hot Chili Peppers;
0;Uzbekistan;Linkin Park;
0;Vanuatu;Radiohead;
0;Venezuela (Bolivarian Republic of);Coldplay;
0;Viet Nam;Coldplay;
0;Wallis and Futuna Islands;;
0;Western Sahara;;
0;Yemen;Adele;
0;Zambia;Kanye West;
0;Zimbabwe;Justin Bieber;
